symbol,timestamp,buy_crossover,sell_crossover
ETH/USDT,2025-03-27 04:10:00,False,False
ENA/USDT,2025-03-27 04:10:00,False,False
BLAST/USDT,2025-03-27 04:10:00,False,False
EIGEN/USDT,2025-03-27 04:10:00,False,False
MNT/USDT,2025-03-27 04:10:00,False,False
ETH/USDT,2025-03-27 04:11:00,False,False
ENA/USDT,2025-03-27 04:11:00,False,False
BLAST/USDT,2025-03-27 04:11:00,False,False
EIGEN/USDT,2025-03-27 04:11:00,False,False
MNT/USDT,2025-03-27 04:11:00,False,False
ETH/USDT,2025-03-27 04:15:00,False,False
ENA/USDT,2025-03-27 04:15:00,False,False
BLAST/USDT,2025-03-27 04:15:00,False,False
EIGEN/USDT,2025-03-27 04:15:00,False,False
MNT/USDT,2025-03-27 04:15:00,False,False
ETH/USDT,2025-03-27 04:15:00,False,False
ENA/USDT,2025-03-27 04:15:00,False,False
BLAST/USDT,2025-03-27 04:15:00,False,False
EIGEN/USDT,2025-03-27 04:15:00,False,False
MNT/USDT,2025-03-27 04:15:00,False,False
ETH/USDT,2025-03-27 04:15:00,False,False
ENA/USDT,2025-03-27 04:15:00,False,False
BLAST/USDT,2025-03-27 04:16:00,True,False
EIGEN/USDT,2025-03-27 04:16:00,False,False
MNT/USDT,2025-03-27 04:16:00,False,False
ETH/USDT,2025-03-27 04:16:00,False,False
ENA/USDT,2025-03-27 04:16:00,False,False
BLAST/USDT,2025-03-27 04:16:00,True,False
EIGEN/USDT,2025-03-27 04:16:00,False,False
MNT/USDT,2025-03-27 04:16:00,False,False
ETH/USDT,2025-03-27 04:16:00,False,False
ENA/USDT,2025-03-27 04:16:00,False,False
BLAST/USDT,2025-03-27 04:16:00,True,False
EIGEN/USDT,2025-03-27 04:16:00,False,False
MNT/USDT,2025-03-27 04:16:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:18:00,False,False
ETH/USDT,2025-03-27 04:18:00,False,False
ENA/USDT,2025-03-27 04:18:00,False,False
BLAST/USDT,2025-03-27 04:18:00,False,False
EIGEN/USDT,2025-03-27 04:18:00,False,False
MNT/USDT,2025-03-27 04:18:00,False,False
ETH/USDT,2025-03-27 04:18:00,False,False
ENA/USDT,2025-03-27 04:18:00,False,False
BLAST/USDT,2025-03-27 04:18:00,False,False
EIGEN/USDT,2025-03-27 04:18:00,False,False
MNT/USDT,2025-03-27 04:18:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
